Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood 
Siberian Divide by Mastodon,2,1,0.238,0.947,0.189,173.973,0.333,0.734,0.309,0.234,0.394,0.326,0.288,0.233,0.38,0.724,1.0,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Unforgivable Sinner by Lene Marlin,4,0,0.627,0.641,0.712,96.308,0.403,0.438,0.831,1.0,0.329,0.333,0.321,0.94,0.854,0.275,0.32,0.45,0.0,0.0,0.0,0.509282,0.0,0.0,0.9168780000000001,sad
Vagabond by Wolfmother,2,1,0.494,0.74,0.337,100.983,0.402,0.276,0.228,0.226,0.315,0.209,0.307,0.469,0.296,0.398,1.0,0.997,0.0,0.0,0.0,0.745965,0.876303,0.0,0.0,happy
White Light/White Heat by Velvet Underground,2,1,0.487,0.61,0.555,127.494,1.0,0.331,0.143,0.129,0.209,0.462,0.47,0.602,0.136,0.14,0.278,0.47,0.0,0.0,0.508787,0.0,0.0,0.583105,0.0,angry
Whistle And Steam by Thea Gilmore,6,0,0.629,0.412,0.486,129.805,1.0,0.97,0.21,0.172,0.158,0.167,0.159,0.143,0.131,0.134,0.11,0.282,0.0,0.0,0.0,0.0,0.6181399999999999,0.0,0.900199,relaxed
CONCEIVED SORROW by DIR EN GREY,8,0,0.439,0.671,0.317,164.038,0.747,0.89,1.0,0.855,0.648,0.747,0.787,0.949,0.868,0.606,0.481,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
I Found Out by John Lennon,7,1,0.576,0.672,0.507,181.116,0.552,1.0,0.982,0.814,0.745,0.743,0.716,0.775,0.758,0.645,0.553,0.451,0.0,0.0,0.0,0.7160310000000001,0.0,0.0,0.0,angry
Girl Anachronism by The Dresden Dolls,10,1,0.416,0.883,0.788,178.33,1.0,0.067,0.071,0.048,0.051,0.133,0.221,0.157,0.029,0.114,0.097,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.939317,angry
Bullet with your name by Scars of life,7,1,0.439,0.935,0.415,107.034,0.987,0.801,0.774,0.765,0.457,0.471,0.935,0.922,0.992,1.0,0.978,0.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Altar of Sacrifice by Slayer,6,1,0.29,0.998,0.0368,111.301,0.561,0.397,0.353,0.695,0.729,0.799,1.0,0.757,0.619,0.692,0.374,0.364,0.0,0.0,0.0,0.647451,0.0,0.0,0.0,angry
Gave Up by Nine Inch Nails,11,1,0.52,0.897,0.188,143.946,0.317,0.292,0.215,0.235,0.277,0.718,0.844,1.0,0.685,0.323,0.339,0.279,0.0,0.0,0.0,0.701771,0.0,0.0,0.59806,angry
Evil Walks by AC/DC,9,1,0.478,0.886,0.488,100.427,0.533,0.448,0.274,0.399,0.78,0.608,0.641,0.683,1.0,0.911,0.767,0.761,0.0,0.556096,0.0,0.0,0.0,0.0,0.836844,angry
Love Light In Flight by Stevie Wonder,1,1,0.602,0.733,0.945,217.396,0.834,1.0,0.298,0.242,0.27,0.289,0.582,0.601,0.536,0.484,0.907,0.182,0.0,0.0,0.911591,0.0,0.617378,0.0,0.538245,happy
Snow Angel by Ron Sexsmith,1,1,0.586,0.346,0.529,106.84,0.003,0.017,0.002,0.008,1.0,0.019,0.01,0.002,0.013,0.002,0.004,0.09,0.0,0.0,0.766843,0.0,0.5589109999999999,0.714073,0.0,relaxed
Fight Till Death by Slayer,8,1,0.199,0.903,0.207,92.262,1.0,0.944,0.071,0.041,0.026,0.021,0.033,0.029,0.036,0.057,0.07,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Youth by Soft Cell,7,1,0.443,0.33,0.264,80.215,0.322,0.246,0.347,0.111,0.179,0.259,0.555,0.548,0.3,0.294,1.0,0.83,0.0,0.0,0.702543,0.0,0.0,0.0,0.0,sad
Boy in a Rock and Roll Band by The Pierces,0,1,0.707,0.633,0.596,109.938,0.92,1.0,0.565,0.594,0.628,0.663,0.604,0.637,0.547,0.462,0.463,0.135,0.0,0.0,0.834758,0.0,0.0,0.0,0.5993850000000001,happy
Kiss Me Where It Smells Funny by Bloodhound Gang,4,0,0.553,0.841,0.926,161.024,0.906,1.0,0.414,0.286,0.248,0.245,0.223,0.189,0.193,0.18,0.18,0.547,0.0,0.0,0.630957,0.0,0.0,0.0,0.829677,happy
Together by The Intruders,5,1,0.419,0.516,0.769,172.476,0.921,0.756,0.614,0.517,0.478,0.523,0.535,0.564,0.689,0.802,1.0,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.981844,relaxed
Spoon by Cut Chemist,7,0,0.823,0.622,0.531,85.693,0.664,0.715,0.219,0.095,0.108,0.373,0.265,0.154,0.237,0.247,1.0,0.501,0.0,0.0,0.0,0.575577,0.0,0.979426,0.0,relaxed
Jump by Girls Aloud,8,1,0.658,0.826,0.795,134.465,0.744,0.764,0.687,0.672,0.859,0.928,1.0,0.937,0.851,0.857,0.62,0.122,0.0,0.0,0.9325479999999999,0.0,0.0,0.0,0.6742279999999999,happy
Little Girl Blue by Diana Krall,8,1,0.367,0.0782,0.102,103.602,1.0,0.805,0.785,0.787,0.622,0.633,0.477,0.484,0.329,0.324,0.206,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.949449,relaxed
Miracles by Jefferson Starship,9,0,0.617,0.335,0.655,113.226,1.0,0.91,0.198,0.213,0.344,0.529,0.559,0.487,0.37,0.307,0.245,0.238,0.0,0.0,0.0,0.0,0.549712,0.0,0.9444540000000001,relaxed
Rockupation by Mad Caddies,4,1,0.597,0.921,0.96,156.229,0.323,0.375,0.367,0.463,0.534,0.913,1.0,0.714,0.447,0.244,0.263,0.059,0.0,0.0,0.0,0.0,0.0,0.641705,0.0,happy
Melt Away by Mariah Carey,11,0,0.554,0.56,0.315,137.946,1.0,0.842,0.823,0.729,0.812,0.876,0.724,0.685,0.716,0.692,0.456,0.227,0.0,0.0,0.0,0.573639,0.0,0.0,0.945551,relaxed
Da Mystery of Chessboxin' by Wu-Tang Clan,2,1,0.925,0.388,0.359,105.056,0.756,1.0,0.846,0.536,0.8,0.809,0.675,0.655,0.813,0.879,0.919,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.647781,angry
Last Resort by Papa Roach,4,0,0.589,0.89,0.692,90.598,0.53,0.186,0.1,0.174,0.094,0.111,0.146,0.152,0.56,0.591,1.0,0.121,0.0,0.0,0.0,0.6542560000000001,0.0,0.0,0.8693620000000001,angry
Falling Out Of Reach by Guillemots,10,1,0.387,0.429,0.567,78.608,0.312,1.0,0.13,0.138,0.197,0.229,0.119,0.103,0.135,0.173,0.192,0.152,0.0,0.0,0.0,0.69933,0.0,0.0,0.567218,relaxed
LoveStoned/I Think She Knows Interlude by Justin Timberlake,1,1,0.859,0.681,0.852,121.243,1.0,0.417,0.399,0.405,0.332,0.33,0.248,0.25,0.245,0.244,0.124,0.084,0.5000319999999999,0.0,0.0,0.0,0.0,0.0,0.851726,happy
Needle and Thread by Psapp,5,1,0.897,0.782,0.97,119.978,1.0,0.498,0.144,0.099,0.113,0.099,0.095,0.147,0.141,0.107,0.062,0.157,0.0,0.0,0.0,0.0,0.0,0.748232,0.0,relaxed
Lovesick for Mina by Cradle of Filth,0,0,0.527,0.903,0.252,95.288,0.418,0.782,0.142,0.135,0.422,0.445,0.505,0.503,0.772,0.787,1.0,0.073,0.0,0.0,0.669957,0.0,0.0,0.0,0.0,angry
Friday Night by Lily Allen,1,0,0.822,0.854,0.942,127.587,0.325,1.0,0.784,0.782,0.548,0.541,0.455,0.426,0.512,0.499,0.428,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
What If I'm Right by Sandi Thom,4,1,0.7,0.708,0.885,107.515,0.87,1.0,0.758,0.772,0.732,0.72,0.655,0.542,0.422,0.297,0.26,0.602,0.0,0.0,0.0,0.0,0.70465,0.0,0.509786,happy
How Do by Sneaker Pimps,10,1,0.641,0.916,0.433,110.221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Pain by Jimmy Eat World,0,0,0.39,0.965,0.195,168.006,0.936,1.0,0.467,0.47,0.551,0.565,0.62,0.619,0.698,0.687,0.703,0.047,0.0,0.0,0.0,0.6162890000000001,0.0,0.0,0.902459,angry
Wicked by Ice Cube,10,0,0.803,0.972,0.627,106.938,1.0,0.733,0.286,0.282,0.013,0.016,0.242,0.241,0.396,0.394,0.45,0.015,0.592599,0.679992,0.0,0.0,0.0,0.0,0.0,angry
Fragile by Delta Goodrem,1,1,0.503,0.198,0.343,79.755,1.0,0.956,0.894,0.675,0.511,0.417,0.436,0.545,0.583,0.375,0.341,0.258,0.0,0.0,0.0,0.800143,0.0,0.0,0.985034,sad
More and More by Captain Hollywood Project,7,1,0.661,0.847,0.71,125.862,1.0,0.882,0.579,0.593,0.349,0.293,0.158,0.148,0.165,0.169,0.301,0.095,0.589738,0.0,0.0,0.0,0.0,0.0,0.541037,happy
The Latest Plague by From First To Last,8,1,0.357,0.98,0.275,180.387,0.675,1.0,0.584,0.508,0.524,0.775,0.907,0.575,0.612,0.593,0.653,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.616216,angry
Gods To The Godless by Primordial,7,1,0.198,0.956,0.216,114.183,0.72,0.822,0.934,0.681,0.859,0.749,0.723,0.782,0.699,0.836,0.788,1.0,0.0,0.0,0.0,0.0,0.0,0.919583,0.0,sad
Red Sam by Flyleaf,7,1,0.429,0.934,0.773,166.049,0.854,1.0,0.4,0.238,0.233,0.152,0.187,0.142,0.3,0.372,0.487,0.284,0.0,0.0,0.0,0.592302,0.0,0.88533,0.0,angry
Set You Free by N-Trance,8,1,0.179,0.955,0.372,184.092,0.237,0.233,0.469,0.435,0.299,0.43,0.657,1.0,0.882,0.489,0.329,0.231,0.0,0.0,0.686217,0.0,0.0,0.7154510000000001,0.0,happy
Before I Sleep by Mazzy Star,9,1,0.598,0.19,0.24,175.468,1.0,0.999,0.962,0.879,0.833,0.841,0.813,0.772,0.756,0.693,0.67,0.641,0.0,0.0,0.0,0.0,0.9891549999999999,0.8695780000000001,0.0,relaxed
Feathers by Man Man,7,0,0.442,0.407,0.29,167.371,0.462,0.824,1.0,0.479,0.176,0.175,0.253,0.331,0.309,0.693,0.803,0.596,0.0,0.0,0.0,0.568955,0.0,0.0,0.8559100000000001,sad
Words Of Love by The Mamas & The Papas,10,0,0.444,0.704,0.595,115.942,1.0,0.974,0.264,0.213,0.173,0.206,0.14,0.108,0.073,0.059,0.067,0.304,0.0,0.0,0.7907649999999999,0.0,0.0,0.577118,0.0,relaxed
Blow Your Mind by Redman,10,0,0.788,0.681,0.812,96.97,0.434,0.871,0.654,0.584,1.0,0.832,0.798,0.672,0.576,0.952,0.804,0.544,0.0,0.0,0.6161399999999999,0.0,0.0,0.0,0.0,angry
If You Go Away by Scott Walker,9,0,0.194,0.143,0.129,80.719,0.377,0.308,0.316,0.41,0.391,0.958,0.879,1.0,0.824,0.696,0.555,0.352,0.0,0.0,0.764899,0.0,0.61954,0.0,0.5355310000000001,sad
A Man And A Woman by U2,11,0,0.618,0.784,0.748,125.983,0.906,1.0,0.747,0.732,0.708,0.766,0.652,0.855,0.742,0.514,0.534,0.391,0.0,0.0,0.720108,0.0,0.0,0.0,0.810924,happy
Captain Wedderburn by Great Big Sea,0,1,0.586,0.281,0.472,93.243,1.0,0.933,0.432,0.292,0.224,0.187,0.154,0.136,0.133,0.113,0.099,0.562,0.529654,0.0,0.0,0.0,0.8306690000000001,0.0,0.5311739999999999,relaxed
Rubber Biscuit by The Blues Brothers,10,1,0.558,0.745,0.666,140.671,0.475,0.432,0.412,0.639,0.425,0.419,0.53,0.51,0.495,0.688,0.857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8145560000000001,happy
Tell Me What You Want by The Pipettes,7,1,0.356,0.873,0.632,124.763,0.793,0.429,0.562,0.311,0.45,1.0,0.308,0.219,0.193,0.234,0.243,0.278,0.0,0.0,0.560381,0.0,0.0,0.0,0.0,happy
Monique the Freak by Ween,9,1,0.777,0.886,0.963,112.035,1.0,0.669,0.054,0.048,0.166,0.17,0.516,0.508,0.731,0.73,0.82,0.012,0.0,0.0,0.641808,0.0,0.0,0.0,0.0,happy
Gary Gilmore's Eyes by Adverts,4,0,0.421,0.598,0.778,157.927,0.965,1.0,0.636,0.48,0.287,0.306,0.314,0.269,0.236,0.152,0.127,0.505,0.0,0.0,0.566145,0.0,0.0,0.0,0.0,angry
Nancy (With The Laughing Face) by Frank Sinatra,1,1,0.295,0.0826,0.169,128.6,1.0,0.842,0.214,0.144,0.104,0.076,0.086,0.112,0.152,0.151,0.162,0.382,0.0,0.0,0.0,0.62088,0.613721,0.0,0.834933,relaxed
So Nice (Summer Samba) by Bebel Gilberto,0,1,0.73,0.475,0.681,113.357,1.0,0.979,0.498,0.464,0.471,0.5,0.519,0.521,0.497,0.403,0.389,0.553,0.0,0.0,0.7247979999999999,0.0,0.0,0.0,0.9673290000000001,relaxed
Nadine by New London Fire,3,0,0.41,0.426,0.217,147.998,0.186,0.229,0.256,0.237,0.542,1.0,0.34,0.203,0.226,0.24,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Anniemal by Annie,0,1,0.761,0.904,0.912,116.022,1.0,0.836,0.218,0.147,0.127,0.13,0.156,0.159,0.125,0.169,0.205,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.964203,happy
Loch Raven by Animal Collective,0,1,0.526,0.456,0.181,119.545,1.0,0.385,0.184,0.148,0.091,0.09,0.075,0.082,0.424,0.439,0.898,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.70397,relaxed
Classic Cars by Bright Eyes,4,1,0.388,0.732,0.791,145.364,0.006,0.03,0.012,0.008,0.217,0.021,0.027,0.021,0.033,1.0,0.062,0.032,0.0,0.0,0.0,0.601013,0.0,0.0,0.0,relaxed
Limp by Fiona Apple,9,0,0.771,0.515,0.343,119.961,0.949,1.0,0.549,0.539,0.594,0.585,0.618,0.621,0.619,0.607,0.572,0.03,0.520853,0.0,0.0,0.0,0.0,0.0,0.0,angry
ABC by The Jackson 5,8,1,0.715,0.678,0.947,94.769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.794629,0.0,0.0,0.0,0.0,happy
One More Day (No Word) by Todd Rundgren,1,1,0.485,0.364,0.494,121.046,0.918,1.0,0.543,0.753,0.491,0.535,0.347,0.254,0.698,0.32,0.238,0.849,0.0,0.0,0.0,0.507074,0.0,0.0,0.0,relaxed
Let's Get Married by Al Green,9,1,0.702,0.528,0.962,115.148,0.315,0.314,0.259,0.246,0.154,0.533,0.59,0.475,0.265,0.328,0.668,1.0,0.660352,0.0,0.0,0.0,0.0,0.0,0.9368989999999999,relaxed
Too Long by Yael Naïm,1,0,0.646,0.361,0.53,79.987,1.0,0.729,0.77,0.903,0.708,0.812,0.54,0.586,0.344,0.337,0.464,0.377,0.0,0.0,0.0,0.513734,0.0,0.0,0.0,relaxed
Ceiling Wax by Chairlift,2,0,0.552,0.244,0.0461,134.989,0.239,0.554,0.977,0.168,0.512,0.522,0.452,0.305,0.162,0.242,0.716,1.0,0.0,0.0,0.0,0.0,0.0,0.947749,0.0,relaxed
Nature by India.Arie,7,0,0.69,0.443,0.552,102.006,0.983,0.682,0.104,0.114,0.351,0.39,0.663,0.643,0.868,0.859,1.0,0.073,0.0,0.0,0.770868,0.0,0.0,0.0,0.8145560000000001,relaxed
High (live in Ireland) by James Blunt,9,1,0.381,0.403,0.359,165.331,0.544,1.0,0.383,0.392,0.625,0.597,0.547,0.408,0.253,0.232,0.41,0.399,0.0,0.0,0.642932,0.648439,0.546128,0.0,0.8691629999999999,relaxed
Broken Butterflies by Lucinda Williams,0,1,0.332,0.209,0.0963,121.369,0.854,0.375,0.155,0.159,0.229,0.218,0.129,0.351,0.721,0.879,1.0,0.826,0.0,0.0,0.631532,0.0,0.0,0.775381,0.0,sad
Hard Time Killin' Floor Blues by Skip James,8,1,0.528,0.0702,0.265,78.239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.650497,0.0,0.0,0.764224,sad
My Wine in Silence by My Dying Bride,11,1,0.254,0.556,0.219,169.145,0.203,1.0,0.257,0.111,0.079,0.091,0.123,0.113,0.306,0.132,0.116,0.221,0.617815,0.584484,0.667864,0.6369020000000001,0.0,0.0,0.0,sad
Toubabo Koomi by Acid Bath,6,1,0.263,0.902,0.165,108.551,1.0,0.649,0.33,0.171,0.232,0.209,0.216,0.64,0.577,0.518,0.221,0.432,0.631406,0.0,0.0,0.0,0.0,0.0,0.84639,angry
I Won't Be Crying by Infernal,4,0,0.605,0.91,0.801,127.987,0.393,1.0,0.319,0.335,0.201,0.183,0.18,0.195,0.218,0.218,0.19,0.362,0.0,0.0,0.0,0.896561,0.0,0.828525,0.0,happy
Your Picture by Camera Obscura,4,1,0.559,0.192,0.216,123.238,1.0,1.0,0.549,0.483,0.431,0.394,0.388,0.369,0.345,0.326,0.327,0.641,0.0,0.0,0.0,0.0,0.8207549999999999,0.802229,0.0,sad
Blinding by Florence + The Machine,9,0,0.512,0.793,0.268,108.052,0.99,1.0,0.958,0.448,0.078,0.128,0.255,0.636,0.508,0.237,0.175,0.622,0.0,0.0,0.0,0.56994,0.0,0.0,0.885683,sad
Love Is an Arrow by Aberfeldy,7,0,0.709,0.525,0.911,125.118,0.255,0.348,0.373,0.502,1.0,0.918,0.294,0.204,0.149,0.22,0.137,0.137,0.0,0.0,0.515356,0.0,0.0,0.0,0.0,sad
The Lake by Antony and the Johnsons,10,1,0.407,0.157,0.0965,76.384,0.762,1.0,0.388,0.117,0.098,0.117,0.192,0.145,0.238,0.416,0.327,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.576661,sad
Chapter I by Estatic Fear,7,0,0.452,0.541,0.272,100.023,0.065,0.044,0.681,0.144,0.028,0.332,0.221,1.0,0.266,0.026,0.015,0.08,0.0,0.0,0.0,0.5454319999999999,0.0,0.0,0.0,sad
The Last Time I Saw Richard by Joni Mitchell,2,1,0.547,0.145,0.343,109.225,0.353,0.735,0.612,0.306,0.184,0.813,1.0,0.4,0.306,0.283,0.534,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.9591069999999999,sad
This Boy's In Love by The Presets,10,0,0.486,0.968,0.926,122.955,0.247,0.181,0.129,0.103,0.393,1.0,0.373,0.161,0.226,0.228,0.286,0.3,0.0,0.0,0.0,0.0,0.0,0.880065,0.0,happy
Rip by Gary Numan,2,1,0.46,0.571,0.192,184.291,0.267,0.142,0.185,0.261,0.589,1.0,0.363,0.144,0.126,0.14,0.147,0.133,0.0,0.65268,0.0,0.501679,0.0,0.0,0.952443,sad
Enemies Of Reality by Nevermore,10,0,0.32,0.982,0.111,88.902,0.371,1.0,0.979,0.415,0.986,0.555,0.781,0.709,0.449,0.35,0.908,0.521,0.0,0.0,0.0,0.519502,0.0,0.8251870000000001,0.0,angry
Don't Fake This by Chevelle,1,1,0.498,0.901,0.392,98.592,0.471,0.218,0.242,0.158,0.324,0.336,0.647,0.583,0.853,1.0,0.83,0.082,0.0,0.0,0.0,0.647828,0.0,0.0,0.774803,angry
Bloodletting by Lamb of God,2,1,0.256,0.998,0.222,106.768,0.608,1.0,0.85,0.702,0.473,0.401,0.355,0.499,0.858,0.635,0.532,0.572,0.0,0.0,0.0,0.0,0.694442,0.0,0.0,angry
Good Mourning/Black Friday by Megadeth,4,1,0.189,0.977,0.164,176.876,1.0,0.625,0.626,0.458,0.656,0.542,0.566,0.609,0.754,0.662,0.463,0.601,0.0,0.0,0.0,0.502672,0.0,0.0,0.733641,angry
History Of A Boring Town by Less Than Jake,2,1,0.541,0.943,0.779,107.317,0.043,1.0,0.009,0.033,0.268,0.028,0.009,0.012,0.285,0.089,0.029,0.03,0.0,0.0,0.0,0.574371,0.0,0.0,0.0,happy
Soul and Fire by Sebadoh,8,1,0.431,0.618,0.325,99.342,1.0,0.98,0.51,0.523,0.563,0.627,0.634,0.646,0.659,0.551,0.516,0.698,0.0,0.0,0.0,0.0,0.9798290000000001,0.9526629999999999,0.0,sad
Moonlapse Vertigo by Opeth,9,0,0.296,0.906,0.275,82.287,0.905,1.0,0.354,0.265,0.231,0.212,0.2,0.191,0.15,0.188,0.204,0.339,0.0,0.0,0.5783739999999999,0.0,0.0,0.0,0.0,sad
Runaway by Linkin Park,7,1,0.636,0.884,0.446,109.16,1.0,0.786,0.611,0.615,0.417,0.405,0.348,0.385,0.541,0.426,0.443,0.435,0.7549399999999999,0.0,0.0,0.0,0.555316,0.687649,0.0,angry
Sacrifice Unto Sebek by Nile,11,0,0.114,0.959,0.0688,184.136,0.691,1.0,0.671,0.65,0.798,0.786,0.6,0.671,0.404,0.408,0.174,0.187,0.0,0.552148,0.0,0.0,0.0,0.0,0.0,angry
The Party's Crashing Us by of Montreal,5,1,0.618,0.819,0.945,119.955,1.0,0.116,0.076,0.086,0.865,0.072,0.065,0.083,0.064,0.055,0.03,0.171,0.0,0.0,0.0,0.602839,0.0,0.0,0.728486,happy
Over The Rainbow by Jane Monheit,8,1,0.41,0.0867,0.211,110.148,0.421,0.405,0.374,0.334,0.313,0.352,0.32,0.228,0.225,0.421,1.0,0.859,0.0,0.0,0.601119,0.0,0.523981,0.0,0.0,relaxed
Friday Night at the Drive-In Bingo by Jens Lekman,0,1,0.47,0.62,0.52,84.396,1.0,0.638,0.582,0.61,0.668,0.992,0.519,0.486,0.389,0.523,0.665,0.737,0.0,0.0,0.698245,0.0,0.0,0.0,0.5790489999999999,happy
Not This by Fannypack,8,1,0.805,0.436,0.549,80.039,0.737,0.511,0.276,0.321,0.281,0.302,0.429,0.474,1.0,0.257,0.252,0.21,0.0,0.0,0.0,0.790392,0.0,0.0,0.552379,relaxed
Now or Never by Mýa,6,1,0.646,0.671,0.699,99.891,0.815,1.0,0.443,0.75,0.622,0.452,0.688,0.831,0.505,0.467,0.335,0.831,0.0,0.0,0.0,0.0,0.0,0.543151,0.0,happy
If Your Heart Isn't In It by Atlantic Starr,10,1,0.588,0.395,0.345,133.884,1.0,0.961,0.239,0.201,0.169,0.166,0.155,0.14,0.121,0.088,0.076,0.29,0.0,0.55989,0.0,0.0,0.0,0.0,0.8946719999999999,relaxed
Closer To You by Cassandra Wilson,9,1,0.658,0.231,0.26,105.322,0.789,0.368,0.148,0.069,0.152,0.57,0.455,0.064,0.135,0.402,0.537,1.0,0.0,0.0,0.0,0.545711,0.0,0.571226,0.0,relaxed
In Other Worlds by Azam Ali,7,1,0.529,0.544,0.0397,111.984,0.085,0.025,0.012,0.015,0.008,0.017,0.09,0.009,0.012,0.018,0.129,1.0,0.0,0.0,0.0,0.0,0.626827,0.0,0.0,sad
Halloween by Misfits,0,1,0.381,0.938,0.0954,108.735,0.778,1.0,0.915,0.92,0.896,0.908,0.907,0.899,0.788,0.776,0.621,0.507,0.0,0.0,0.0,0.0,0.747663,0.0,0.0,angry
A Bridge (That Carries Us Over) by Clannad,0,0,0.409,0.467,0.152,80.024,1.0,0.994,0.358,0.303,0.25,0.248,0.245,0.235,0.235,0.174,0.126,0.381,0.0,0.0,0.7115739999999999,0.0,0.665127,0.91171,0.0,relaxed
A Real Woman by Squarepusher,8,1,0.587,0.778,0.737,95.165,0.405,0.341,0.237,0.233,0.24,0.33,0.245,0.22,0.413,1.0,0.976,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Spill Your Blood by Mr. Hyde,10,0,0.847,0.575,0.606,92.975,0.723,0.584,0.695,0.472,0.471,0.699,0.908,0.72,1.0,0.938,0.963,0.646,0.819204,0.0,0.0,0.0,0.0,0.0,0.664175,angry
Carresses by M83,0,1,0.351,0.445,0.0397,89.474,0.128,0.238,0.271,0.159,0.165,0.168,0.279,0.535,1.0,0.464,0.2,0.126,0.0,0.604137,0.594205,0.0,0.0,0.0,0.0,relaxed
Fake Tales of San Francisco by Arctic Monkeys,9,1,0.454,0.778,0.704,127.158,1.0,0.812,0.689,0.588,0.658,0.712,0.836,0.776,0.701,0.721,0.52,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Just Like Frank by Less Than Jake,2,1,0.308,0.935,0.671,158.451,1.0,0.742,0.499,0.305,0.242,0.609,0.942,0.743,0.417,0.439,0.553,0.888,0.0,0.0,0.0,0.565267,0.8679690000000001,0.0,0.9966219999999999,happy
Sin by Megadeth,9,1,0.596,0.936,0.715,126.339,0.723,1.0,0.522,0.427,0.697,0.441,0.955,0.919,0.383,0.218,0.232,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.5511119999999999,angry
ALONE EN LA VIDA by L'Arc~en~Ciel,9,0,0.484,0.879,0.585,100.052,1.0,0.882,0.86,0.68,0.596,0.51,0.628,0.627,0.624,0.622,0.664,0.625,0.0,0.0,0.0,0.6536770000000001,0.0,0.0,0.0,sad
Heroin by The Velvet Underground,1,1,0.201,0.777,0.235,145.733,1.0,0.863,0.516,0.562,0.559,0.572,0.405,0.356,0.332,0.336,0.365,0.538,0.0,0.0,0.0,0.512683,0.0,0.0,0.916125,sad
Must Have Done Something Right by Relient K,1,1,0.563,0.959,0.81,137.942,0.847,0.497,0.531,0.678,0.499,0.431,0.742,0.806,0.949,1.0,0.737,0.648,0.0,0.0,0.718244,0.0,0.0,0.0,0.0,happy
The Coffin Ships by Primordial,6,0,0.408,0.772,0.165,102.664,0.819,0.677,0.729,0.696,0.64,0.575,0.602,0.512,0.629,0.852,0.848,1.0,0.0,0.0,0.0,0.910156,0.0,0.0,0.0,sad
Sing Sang Sung by Air,10,1,0.511,0.753,0.73,96.423,1.0,0.954,0.548,0.535,0.441,0.448,0.383,0.355,0.365,0.372,0.401,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.879483,relaxed
River by Moya Brennan,2,1,0.215,0.367,0.216,173.762,0.254,0.167,0.025,0.017,0.014,0.073,0.421,0.063,0.018,0.019,0.245,1.0,0.0,0.0,0.52587,0.0,0.0,0.0,0.8734639999999999,relaxed
Where Do I Go Now by Kane,9,1,0.423,0.845,0.459,159.444,1.0,0.739,0.719,0.722,0.663,0.668,0.373,0.375,0.387,0.386,0.242,0.22,0.0,0.0,0.0,0.505065,0.0,0.0,0.8287760000000001,sad
Sea Ghost by The Unicorns,4,1,0.514,0.46,0.422,121.82,1.0,0.437,0.382,0.386,0.337,0.325,0.205,0.209,0.218,0.213,0.132,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.672523,happy
Butterfly by Corinne Bailey Rae,2,1,0.505,0.505,0.339,147.585,0.763,0.976,1.0,0.725,0.719,0.874,0.619,0.513,0.495,0.461,0.617,0.556,0.0,0.0,0.7830060000000001,0.0,0.0,0.873765,0.0,relaxed
Another Rainy Day by Corinne Bailey Rae,4,0,0.407,0.158,0.123,80.555,1.0,0.803,0.605,0.615,0.449,0.379,0.113,0.124,0.205,0.206,0.424,0.352,0.0,0.0,0.553551,0.0,0.0,0.0,0.733641,relaxed
Love Thing by Spice Girls,2,1,0.8,0.743,0.76,110.059,0.68,0.421,0.249,0.239,0.295,0.517,0.732,0.906,1.0,0.931,0.921,0.802,0.0,0.0,0.582105,0.0,0.0,0.0,0.0,happy
My Man's Gone Now by Nina Simone,9,0,0.349,0.109,0.29,85.84,1.0,0.867,0.116,0.122,0.129,0.147,0.11,0.084,0.073,0.053,0.042,0.063,0.0,0.0,0.0,0.769883,0.0,0.0,0.0,sad
