artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,valence,mode,mood_1
Wynonna,Things That I Lean On,0.379,0.105,75.589,0.0328,0.798,2.05E-05,4,0.612,11,0.35,1,Empowering
Cary Brothers,Blue Eyes,0.398,0.086,112.329,0.0262,0.282,2.71E-06,3,0.635,4,0.409,1,Gritty
Black Sabbath,Children of the Sea - Remastered Version,0.697,0.251,142.127,0.0315,0.00572,0.000664,4,0.414,6,0.333,1,Empowering
Macy Gray,I Try,0.23,0.0983,83.001,0.143,0.908,0.0536,4,0.596,10,0.259,1,Yearning
CID,No!,0.959,0.0437,126.019,0.0717,0.0121,0.0886,4,0.726,2,0.717,0,Energizing
Grum,Drifting Away,0.895,0.11,125.987,0.0465,0.00116,0.319,4,0.572,4,0.156,1,Excited
Moby,Natural Blues - Bali Bandits Remix Edit,0.91,0.449,127.88,0.113,0.0246,0.00249,4,0.45,0,0.228,1,Aggressive
Pyres Of Kiev,The Nautical Sacrifice,0.974,0.151,109.772,0.103,0.00321,0,4,0.321,9,0.0486,1,Aggressive
A$AP Rocky,Peso,0.831,0.0861,140.017,0.27,0.167,0,4,0.527,10,0.581,0,Cool
Coast Modern,Hollow Life,0.748,0.0386,118.96,0.0389,0.00332,4.19E-06,4,0.631,8,0.259,1,Excited
Freddie Joachim,Shoulder Kiss,0.502,0.158,95.084,0.108,0.441,0.0193,4,0.774,10,0.756,1,
Lost Love,"Take Care, Get Better, See You Never",0.916,0.403,140.293,0.0709,0.00335,0.000322,4,0.42,3,0.541,1,Empowering
Richard Elliot,Cachaca,0.834,0.112,99.593,0.0701,0.253,0.826,4,0.707,7,0.862,1,Fiery
Fetty Wap,Trap Queen,0.873,0.354,148.075,0.128,0.0244,0,4,0.746,7,0.808,1,Energizing
Volbeat,Our Loved Ones,0.793,0.227,149.958,0.029,0.000128,0.000305,4,0.442,7,0.32,0,Defiant
The Rolling Stones,Start Me Up - Remastered,0.839,0.0885,122.606,0.0344,0.0672,0.307,4,0.659,5,0.967,1,Excited
Mumford & Sons,Timshel,0.279,0.114,82.509,0.0344,0.863,6.94E-06,4,0.463,5,0.0875,1,Melancholy
Espresso Deluxe,Coffeehouse Theme,0.715,0.406,99.982,0.035,0.288,0.619,4,0.72,0,0.67,1,Energizing
Clment Janequin,"L'amour, la mort et la vie",0.0771,0.101,114.14,0.0454,0.983,5.74E-06,3,0.245,3,0.0819,1,Stirring
Robert Schumann,"String Quartet No. 1 in A Minor, Op. 41, No. 1: III. Adagio",0.079,0.103,87.814,0.0424,0.972,0.616,4,0.165,0,0.079,1,
The Jackson 5,I Want You Back,0.577,0.168,98.148,0.0337,0.487,0.00338,4,0.659,8,0.942,1,Upbeat
Mark Isham,Our Eyes Aren't What Make Us See,0.0722,0.103,66.182,0.0343,0.988,0.924,3,0.17,6,0.0549,1,Peaceful
Daniel Powter,Bad Day,0.667,0.167,140.028,0.029,0.27,3.64E-05,4,0.583,3,0.515,1,Empowering
Culann's Hounds,The Skylark,0.772,0.0945,112.652,0.0353,0.00135,0.894,4,0.526,7,0.409,1,Easygoing
Andy Hendrickson,My Dog,0.559,0.472,135.196,0.795,0.862,0,5,0.573,10,0.817,0,Other
Wye Oak,Glory,0.649,0.16,119.997,0.0316,0.0119,0.102,4,0.647,9,0.586,1,Urgent
Trophy Eyes,Counting Sheep,0.987,0.234,97.826,0.0656,0.0229,0,4,0.225,8,0.39,1,
Bcee & S.P.Y,Is Anybody Out There? - Friction & K-Tee Remix,0.887,0.164,171.965,0.0453,0.00125,0.687,4,0.472,1,0.111,1,Excited
Dystopia Na!,Doppelganger,0.838,0.118,120.028,0.0655,3.50E-05,0.61,4,0.45,5,0.142,0,Aggressive
Kevin Krauter,Bachelor,0.358,0.114,104.776,0.0346,0.917,0.0778,4,0.536,11,0.154,1,Other
Barfalk,A Thousand Years - Lounge Mix,0.167,0.0999,94.854,0.0319,0.792,0.118,4,0.28,10,0.127,1,Aggressive
Pierce Fulton,False Proof,0.905,0.126,100.038,0.0892,0.166,0.359,4,0.753,2,0.868,1,Cool
Eddie Floyd,Knock On Wood,0.346,0.0514,105.164,0.0365,0.277,0.00521,4,0.864,4,0.965,1,Easygoing
Vladimir Ussachevsky,Wireless Fantasy,0.219,0.297,65.822,0.0897,0.968,0.637,3,0.435,5,0.0399,0,Serious
Sublime,Badfish,0.427,0.388,92.042,0.0538,0.0912,0.00167,4,0.803,11,0.532,0,Cool
Sigimund,The Watchtower,0.0274,0.153,75.124,0.0333,0.991,0.922,1,0.248,7,0.157,0,Rowdy
Kendrick Lamar,Alright,0.779,0.0832,110.037,0.235,0.0734,0,4,0.791,7,0.581,1,Defiant
Jamie xx,SeeSaw (Club Version),0.772,0.031,125.012,0.0438,0.174,0.934,4,0.671,9,0.497,0,
Grabbitz,Don't Stop,0.963,0.121,74.965,0.244,0.00186,0.0133,4,0.655,11,0.612,1,
CHEN,Everytime,0.705,0.196,179.904,0.0384,0.457,0,4,0.423,10,0.486,1,Empowering
Robert Schumann,"Piano Concerto In A Minor, Op.54: 1. Allegro affettuoso",0.0509,0.112,134.624,0.0366,0.991,0.924,3,0.263,9,0.0626,0,
Reel Big Fish,She Has a Girlfriend Now,0.861,0.0826,129.953,0.044,0.0838,2.25E-05,4,0.713,0,0.969,0,Excited
Fleetwood Mac,The Chain,0.529,0.0383,151.727,0.0436,0.0629,0.000567,4,0.546,9,0.549,1,Cool
Elizabeth Mitchell,Sleep Eye,0.211,0.073,176.193,0.492,0.96,0.473,4,0.595,2,0.768,0,
Neutral Milk Hotel,King of Carrot Flowers Pt. 1,0.519,0.409,94.044,0.0334,0.11,0.889,4,0.419,5,0.331,1,
Come Sleep,Be The End,0.696,0.0818,118.859,0.0613,0.00123,0.0412,4,0.404,4,0.26,1,Defiant
India.Arie,Beautiful Surprise,0.229,0.143,76.131,0.0421,0.389,0,4,0.452,9,0.355,1,Empowering
Dirty Projectors,The Socialites - AlunaGeorge Remix,0.466,0.0849,90.491,0.0954,0.345,0.0331,4,0.726,8,0.333,0,
Wolfgang Amadeus Mozart,"Piano Concerto No. 24 in C Minor, K. 491: II. Largo",0.0277,0.159,94.749,0.0369,0.99,0.936,4,0.229,3,0.071,1,Stirring
The Rolling Stones,Bitch - Remastered,0.972,0.165,135.922,0.0362,0.257,0.297,4,0.655,7,0.974,1,Rowdy
Maroon 5,Sex And Candy,0.389,0.0624,133.937,0.0385,0.331,1.24E-05,4,0.8,10,0.654,0,Sensual
Somepling,Cedrela Falls,0.291,0.135,70,0.0486,0.872,0.795,4,0.457,5,0.361,1,Somber
Smoke Season,Opaque,0.448,0.0836,131.902,0.0348,0.515,0.0398,3,0.33,1,0.153,1,Romantic
Robert Franz,"String Quartet No. 14 in D Minor, D. 810 ""Death and the Maiden"" (Arr. R. Franz for Piano 4 Hands): II. Andante con moto",0.126,0.155,100.648,0.0485,0.993,0.906,4,0.378,7,0.0456,0,Serious
Pale Saints,Ordeal,0.539,0.265,121.501,0.0349,9.28E-05,0.833,4,0.503,2,0.633,1,Brooding
Ghasper,Brand,0.711,0.0358,160.163,0.116,0.696,0.0367,4,0.471,2,0.304,1,Brooding
TLC,No Scrubs,0.675,0.0685,92.909,0.0953,0.0251,0.000717,4,0.743,8,0.604,0,Energizing
The Wild Reeds,Love Letter,0.391,0.207,108.905,0.0293,0.967,0.0375,4,0.564,7,0.403,1,Serious
Katja Petri,Headlights (Acoustic Version),0.333,0.131,117.882,0.0341,0.77,0,3,0.702,10,0.335,1,
The Jackson 5,Who's Lovin' You,0.417,0.156,159.836,0.0335,0.787,2.31E-05,3,0.256,7,0.367,1,Empowering
Sudden Beatz,Bring It Back Now,0.736,0.131,191.996,0.0892,0.000891,0.585,4,0.588,1,0.186,1,Energizing
Smallpools,Killer Whales,0.849,0.185,144.844,0.0503,0.000303,4.23E-05,4,0.416,8,0.662,1,Excited
Generationals,"When They Fight, They Fight",0.9,0.165,119.72,0.0322,0.26,0.000102,4,0.753,11,0.967,0,Excited
Cubicolor,One False Step,0.816,0.0541,124.006,0.0392,0.109,0.474,4,0.587,2,0.208,0,Sensual
Mikey Dread,Roots and Culture,0.584,0.347,144.039,0.0825,0.104,0.0406,4,0.73,6,0.813,0,Fiery
Motopony,Wait for Me,0.577,0.122,159.844,0.0342,0.239,0.779,4,0.619,6,0.646,1,Melancholy
Peter Philips,Christus resurgens,0.141,0.0928,97.191,0.044,0.994,0.173,3,0.29,11,0.111,1,Peaceful
Max Richter,Only Questions,0.0089,0.0961,71.024,0.0491,0.994,0.891,4,0.38,6,0.0755,0,
Deap Vally,Little Baby Beauty Queen,0.988,0.12,159.121,0.31,0.000301,0.0232,4,0.239,10,0.109,0,Defiant
Jewelz & Sparks,Into The Blue (feat. Pearl Andersson),0.891,0.325,110.01,0.0411,0.328,0.00362,4,0.71,4,0.601,0,
The Revivalists,Gold to Glass,0.648,0.101,82.385,0.146,0.278,2.84E-05,4,0.64,2,0.395,0,Gritty
Anders Hillborg,Hymn of Echoes,0.101,0.147,145.854,0.038,0.979,0.949,4,0.38,0,0.132,1,Peaceful
Brian Finnegan,Belfast,0.726,0.0876,124.04,0.0328,0.176,0.816,4,0.579,10,0.799,0,Fiery
Diamond Rio,One More Day,0.349,0.123,131.117,0.0288,0.639,0,4,0.667,4,0.245,1,Empowering
The Supremes,Baby Love,0.637,0.0905,135.28,0.0289,0.35,0,4,0.579,0,0.71,1,Upbeat
Gareth Pearson,Beauty of Discipline,0.292,0.114,101.093,0.0361,0.904,0.366,4,0.469,6,0.243,1,Peaceful
ZHU,Working For It - Bonus Track,0.715,0.247,99.951,0.0505,0.0971,0.0131,4,0.776,5,0.494,0,Cool
not sorry,Hold Up,0.926,0.29,150.123,0.215,0.000233,0.308,4,0.6,1,0.464,1,Excited
Purity Ring,Fineshrine,0.798,0.434,130.034,0.0404,0.018,8.68E-06,4,0.609,5,0.405,0,Excited
Eric Clapton,Wonderful Tonight,0.208,0.123,95.534,0.0299,0.678,0.107,4,0.573,7,0.481,1,Empowering
Hopeton Lewis,Take It Easy,0.254,0.0917,99.198,0.111,0.424,0,4,0.927,0,0.952,1,Easygoing
No Doubt,Sunday Morning,0.785,0.127,157.109,0.0312,0.00906,1.82E-05,4,0.589,4,0.776,1,Empowering
Ed Sheeran,Give Me Love,0.39,0.0908,116.301,0.036,0.583,5.07E-06,4,0.465,1,0.235,1,Empowering
Annea Lockwood,Micro Glass Shaken,0.0776,0.0924,64.906,0.0745,0.964,0.895,4,0.352,1,0.0387,1,Fiery
The Jacksons,Can You Feel It,0.651,0.247,125.361,0.0484,0.0484,0.000528,4,0.896,11,0.885,0,Urgent
Marino Marini,Kriminal tango,0.26,0.0652,125.699,0.043,0.886,0.00564,4,0.69,2,0.869,0,Sentimental
Dante Klein,Let Me Hold You (Turn Me On),0.774,0.113,102.949,0.0697,0.101,0,4,0.68,1,0.332,0,Sensual
Big Gigantic,"All of Me (feat. Logic, ROZES)",0.877,0.228,142.034,0.041,0.00189,0,4,0.628,10,0.205,0,Energizing
Cur De Pirate,Comme des enfants,0.354,0.102,123.636,0.0387,0.829,0.0112,3,0.686,10,0.296,1,Empowering
Dance Hall Crashers,Lost Again,0.921,0.423,98.032,0.0529,0.00221,0.373,4,0.36,1,0.794,0,Defiant
Leyla McCalla,Peze Caf,0.421,0.112,124.659,0.0343,0.849,1.56E-05,4,0.612,9,0.496,0,Sophisticated
Warlock,Fr immer,0.459,0.165,75.243,0.0346,0.0421,0.000282,4,0.462,11,0.319,0,Brooding
Lane 8,Midnight - Original Mix,0.889,0.156,123.979,0.0376,0.00538,0.422,4,0.546,0,0.103,1,Excited
The Budos Band,Up From the South,0.805,0.0911,110.74,0.0465,0.00511,0.823,4,0.682,2,0.562,1,Yearning
Robyn,Call Your Girlfriend - Sultan & Ned Remix,0.848,0.219,126.989,0.0473,0.00317,0.00415,4,0.649,5,0.537,0,Excited
Carl Friedrich Abel,"Sonata for violoncello and basso continuo in G Major, WKO 147: III. Rondeau",0.162,0.132,147.347,0.0312,0.963,0.279,4,0.332,6,0.649,1,Tender
Gucci Mane,Gucci Bandana,0.45,0.331,140.092,0.508,0.374,1.38E-05,4,0.913,0,0.706,1,Cool
Kansas,Magnum Opus: Father Padilla Meets the Perfect Gnat / Howling at the Moon / Man Overboard / Industry on Parade / Release the Beavers / Gnat Attack,0.776,0.111,105.929,0.0552,0.0388,0.206,4,0.325,9,0.208,1,
Brunori Sas,"Lei, lui, Firenze",0.598,0.139,147.002,0.0356,0.57,0,4,0.52,2,0.632,1,Romantic
Chaz French,Ready,0.426,0.123,97.962,0.198,0.562,0,4,0.725,0,0.342,1,Sensual
Hamilton,Heroes - Chill Out Version,0.299,0.12,111.906,0.036,0.841,0.000124,4,0.753,1,0.328,1,
Fat Joe,All The Way Up (Remix),0.717,0.493,117.489,0.397,0.097,0,5,0.564,10,0.421,0,Cool
Teedra Moses,That One (feat. Anthony Hamilton),0.503,0.0841,144.02,0.0433,0.495,0,4,0.491,0,0.415,1,Sensual
The Paper Kites,Electric Indigo,0.693,0.107,95.999,0.0345,0.12,0.19,4,0.575,1,0.704,1,Melancholy
The Seekers,I'll Never Find Another You,0.685,0.343,126.519,0.0318,0.742,0.0402,4,0.567,10,0.777,1,Upbeat
Kaleida,Detune,0.407,0.116,129.052,0.0414,0.509,0.0433,4,0.739,11,0.112,1,Sensual
Preoccupations,Silhouettes,0.89,0.367,155.787,0.0685,0.00707,0.764,4,0.137,4,0.363,0,Brooding
The Everly Brothers,All I Have To Do Is Dream - Single Version 2006 Remastered Version,0.368,0.157,103.716,0.0263,0.788,0,4,0.581,1,0.573,0,Romantic
Elf Power,Paralyzed,0.716,0.338,96.465,0.0342,0.437,0.106,4,0.422,9,0.77,1,Empowering
Bassnectar,Music Is The Drug,0.755,0.099,140.037,0.0455,0.00963,0.0578,4,0.597,2,0.0964,0,Other
Kamaiyah,Out the Bottle,0.505,0.215,95.009,0.354,0.0984,0,4,0.884,8,0.411,1,Defiant
Tove Lo,Cool Girl,0.72,0.138,101.964,0.11,0.351,4.26E-06,4,0.667,9,0.249,0,
Yumi Zouma,Short Truth - Southern Shores Remix,0.637,0.312,97.986,0.0417,0.2,0.000448,4,0.54,8,0.524,0,Yearning
Major Lazer,"Night Riders (feat. Travi$ Scott, 2 Chainz, Pusha T & Mad Cobra)",0.888,0.26,141.019,0.0995,0.0761,1.94E-06,4,0.63,11,0.558,0,
Songs For Children,The Little Red Hen (Story),0.141,0.409,74.174,0.939,0.925,0,3,0.614,7,0.334,1,Other
Glee Cast,You're The One That I Want (Glee Cast Version),0.9,0.128,106.998,0.0626,0.0753,3.68E-05,4,0.732,0,0.701,1,
JVST SAY YES,Give It Time,0.986,0.0951,128.001,0.115,0.0335,0.0224,4,0.708,5,0.319,0,Energizing
Pennywise,Fuck Authority,0.937,0.379,101.922,0.0504,0.000887,0.00457,4,0.45,5,0.79,0,Aggressive
Bad Religion,American Jesus,0.948,0.331,181.648,0.037,0.00782,0,4,0.388,9,0.67,0,Defiant
Sander van Doorn,Raise Your Hands Up,0.983,0.214,126.009,0.053,0.000806,0.794,4,0.716,7,0.738,1,Sensual
Maurice Ravel,"Daphnis et Chlo, M. 57 / Troisime partie: Danse gnrale",0.382,0.151,173.421,0.071,0.842,0.716,5,0.147,1,0.0569,0,Serious
The Bangles,Eternal Flame,0.366,0.324,78.965,0.0242,0.545,0,3,0.528,4,0.362,0,Empowering
The Dresden Dolls,Girl Anachronism,0.883,0.11,178.33,0.15,0.314,0,4,0.416,10,0.788,1,Fiery
Moon Taxi,Red Hot Lights,0.865,0.109,122.984,0.0383,0.00986,0.0005,4,0.603,8,0.538,0,Defiant
The Rolling Stones,Waiting On A Friend - 2009 Re-Mastered Digital Version,0.791,0.43,116.946,0.0288,0.15,0.0288,4,0.61,0,0.915,1,
Christina Perri,Jar of Hearts,0.348,0.12,74.541,0.0316,0.726,0,4,0.349,3,0.09,1,Empowering
Clean Bandit,Tears (feat. Louisa Johnson) - 99 Souls Remix,0.918,0.148,129.978,0.051,0.0685,0,4,0.574,5,0.458,0,
Glades,Drive,0.72,0.0995,128.014,0.0273,0.161,0.00013,4,0.589,0,0.346,1,
John Coltrane,Doxy - 1990 Digital Remaster,0.193,0.192,127.492,0.0407,0.92,0.00166,4,0.663,10,0.374,1,Sentimental
Skott,Wolf,0.563,0.0714,99.986,0.0388,0.228,0.000343,4,0.582,1,0.296,1,Sophisticated
Krysta Nick,Miles Away,0.49,0.1,161.743,0.0308,0.335,0,4,0.546,10,0.392,1,Yearning
Commodores,Easy - Single Version,0.498,0.0648,132.611,0.0308,0.416,0.0108,4,0.591,10,0.315,0,Empowering
Koauka,Take You For A Ride,0.81,0.056,90.018,0.0417,0.125,0.0211,4,0.759,10,0.94,1,Cool
Clean Bandit,Come Over (feat. Stylo G),0.782,0.0642,99.969,0.0564,0.154,5.64E-06,4,0.809,5,0.66,0,Gritty
Aoife O'Donovan,The King Of All Birds,0.621,0.115,81.433,0.0339,0.333,0.00473,4,0.468,9,0.27,1,Gritty
Linkin Park,In The End,0.9,0.322,105.213,0.0584,0.0113,0,4,0.553,3,0.397,0,Urgent
Justin Martin,Midnight - Original Mix,0.652,0.0843,120.026,0.0516,0.131,0.873,4,0.705,10,0.574,0,Excited
YG,FDT - Pt. 2,0.566,0.363,97.16,0.453,0.229,0,4,0.828,10,0.313,0,Cool
Gold Panda,In My Car,0.811,0.337,148.087,0.498,0.285,0.185,4,0.436,4,0.15,0,Sensual
Laura Veirs,Soldier's Joy,0.56,0.0817,99.069,0.0302,0.829,0.00434,4,0.649,1,0.649,1,Easygoing
Anthony Gomes,Love Sweet Love,0.777,0.126,110.978,0.0262,0.295,0,4,0.612,1,0.839,0,Brooding
The Staple Singers,I'll Take You There - Single Version,0.597,0.0777,101.674,0.0482,0.097,0,4,0.844,0,0.785,1,Energizing
Franz Schubert,"Trio pour piano et violoncelle en Mi Bmol Majeur, D. 929, Op. 100: II. Andante con moto",0.0289,0.0881,95.851,0.0337,0.979,0.257,4,0.305,0,0.088,0,Peaceful
Steve Jablonsky,Lone Survivor,0.145,0.0812,142.689,0.0379,0.852,0.948,4,0.273,7,0.0342,1,Peaceful
Simon Herron,All That You Know - Original Mix,0.351,0.109,145.065,0.0296,0.519,0.474,4,0.502,2,0.159,0,
D'Angelo,Brown Sugar,0.486,0.102,83.077,0.168,0.53,0.0342,4,0.718,9,0.585,1,Sensual
Wooden Shjips,Lazy Bones,0.852,0.0892,108.848,0.0312,1.20E-05,0.0836,3,0.365,4,0.516,0,Brooding
Annie Lennox,I Put A Spell On You,0.355,0.126,174.034,0.0359,0.419,1.01E-05,3,0.568,2,0.286,0,Gritty
Frontliner,Loud - Radio Edit,0.786,0.35,149.994,0.0288,0.0084,1.22E-06,4,0.512,1,0.206,0,Excited
Trapmasters,Chimpanzky,0.786,0.0691,140.029,0.0447,0.00182,0.649,4,0.714,0,0.382,1,
White Noise Research,An Evening on Condale Lake - Still Night Time Ambience,0.0367,0.215,85.707,0.118,0.938,1,4,0.155,11,1.00E-05,0,Somber
Fox and the Bird,Valley,0.486,0.134,153.23,0.0573,0.3,0,4,0.396,2,0.333,1,Sentimental
Masquer,"Bills, Bills, Bills",0.703,0.128,96.096,0.0371,0.207,8.34E-06,4,0.525,2,0.221,0,Defiant
Carmada,On Fire (feat. Maribelle) - Naderi Remix,0.651,0.0849,83.995,0.0482,0.0467,0.000482,4,0.352,7,0.156,0,Sensual
In This Moment,Whore,0.883,0.0813,90.001,0.047,0.0254,0,4,0.604,11,0.558,0,Urgent
Bad Company UK,Nitrous,0.974,0.103,173.799,0.0823,0.000104,0.745,4,0.436,6,0.545,1,Excited
Yoav Pasovsky,Pessel,0.022,0.0898,133.965,0.056,0.95,0.875,3,0.184,5,0.0332,1,
Matrimony,See the Light,0.498,0.148,106.802,0.0293,0.317,0,3,0.604,11,0.282,1,Empowering
Songs For Children,The Story of Alice and the White Rabbit / The Magic Potion / The Pool of Tears,0.105,0.156,112.377,0.469,0.839,2.60E-06,3,0.557,7,0.543,1,Easygoing
The Civil Wars,I Had Me a Girl - Acoustic,0.42,0.117,83.199,0.0274,0.586,0,3,0.41,5,0.356,1,Sophisticated
Disturbed,Down With The Sickness,0.846,0.144,89.962,0.054,0.000753,2.35E-05,4,0.68,8,0.922,1,Aggressive
Jan Pieterszoon Sweelinck,"Toccata primi toni, SwWV 286",0.185,0.0766,116.426,0.0418,0.923,0.947,4,0.183,1,0.132,0,
Jordan O'Shea,Farewell December,0.109,0.112,129.855,0.0346,0.943,0.000301,4,0.365,2,0.143,0,
Italian Orchestral Academy Of Milano & Chorus,Aida: Ciel! Mio Padre!,0.126,0.769,0,,0.984,0,,,7,,0,Serious
Kiso,Think,0.567,0.289,124.014,0.0346,0.0367,0.0606,4,0.733,1,0.201,1,Sensual
Parquet Courts,Dust,0.957,0.562,145.471,0.0327,0.327,0.932,4,0.554,0,0.955,1,
Birdy,Keeping Your Head Up - Don Diablo Remix [Radio Edit],0.931,0.0942,126.084,0.0708,0.46,0,4,0.639,11,0.487,1,Yearning
Pearl Jam,Black,0.684,0.34,77.15,0.0308,0.323,0,4,0.36,4,0.205,0,Brooding
Martha & The Muffins,Echo Beach - 2002 - Remaster,0.746,0.0976,163.809,0.045,0.13,8.73E-06,4,0.54,7,0.809,1,Yearning
Geto Boys,Mind Playing Tricks on Me,0.512,0.0991,93.997,0.237,0.207,0,4,0.886,10,0.449,0,Cool
X.O.,Off the Lot (feat. Rizzo & SosaMann),0.43,0.0939,140.092,0.0639,0.0367,0,4,0.663,1,0.235,1,Cool
Josef Suk,"Four Pieces for Violin and Piano, Op. 17: II. Appassionato",0.162,0.0789,160.907,0.0453,0.975,0.0924,3,0.331,2,0.203,1,Serious
Tei Shi,See Me,0.497,0.383,149.87,0.0564,0.209,0.427,4,0.535,8,0.0913,0,
Art Tatum,Blue Skies,0.0971,0.124,176.151,0.0519,0.993,0.899,4,0.468,1,0.654,1,Sentimental
Tritonal,Getaway,0.723,0.323,128.138,0.0434,0.128,0,4,0.583,6,0.324,0,Yearning
Jack,Holla Out (feat. Snails & Taranchyla),0.989,0.678,149.983,0.497,0.1,0,4,0.639,6,0.373,0,Energizing
The Devil Makes Three,I Am The Man Thomas,0.696,0.0602,124.766,0.0451,0.753,0.00173,4,0.675,7,0.478,1,Serious
Sounds of Nature White Noise for Mindfulness Meditation and Relaxation,"Ocean Waves with Tibetan Bowls for Massage Therapy, Meditation, Healing and Reiki - With Tibetan Singing Bowl and Healing Music",0.991,0.926,121.045,0.461,0.983,0.898,5,0.317,1,0.0153,0,Other
Rob Zombie,Living Dead Girl,0.952,0.211,103.075,0.0719,0.00385,0.07,4,0.512,11,0.51,1,Aggressive
Craft,Void,0.8,0.0892,58.846,0.102,0.000292,0.414,4,0.0616,8,0.0718,1,Defiant
Beaty Heart,Slide To The Side,0.578,0.112,97.015,0.0286,0.0106,0.0906,4,0.712,10,0.506,0,Cool
Mumford & Sons,Where Are You Now,0.352,0.0872,83.908,0.0426,0.662,3.49E-06,4,0.525,4,0.117,1,Empowering
Aziz Ansari,Are White People Psyched All The Time?,0.713,0.703,92.896,0.942,0.847,0,4,0.728,4,0.766,1,Other
Charles Aznavour,For me formidable,0.357,0.0761,140.46,0.0355,0.735,0,4,0.493,1,0.576,1,Sophisticated
Villagers,Hot Scary Summer,0.36,0.673,114.815,0.0334,0.867,0.00137,4,0.638,0,0.168,1,Empowering
The Who,Pinball Wizard,0.715,0.256,124.011,0.0356,0.0192,0,4,0.543,2,0.446,1,Urgent
Kemarhighcon,Oh Gosh,0.753,0.0955,94.986,0.206,0.431,0,4,0.824,7,0.407,0,Energizing
Park Hyo Shin,Wild Flower,0.323,0.12,134.824,0.031,0.722,0,3,0.281,8,0.249,1,
Eric B. & Rakim,Paid In Full,0.855,0.0499,99.018,0.227,0.00263,0.00104,4,0.884,7,0.425,1,Cool
Manse,Freeze Time - Acoustic Version,0.35,0.137,128.07,0.0296,0.818,1.30E-06,4,0.597,5,0.36,1,Empowering
Europe,The Final Countdown,0.844,0.0608,117.652,0.058,0.0628,0.00084,4,0.536,6,0.187,0,Brooding
Arnold Schoenberg,"Kol Nidre, Op. 39",0.0925,0.0919,73.486,0.0379,0.924,0.0287,3,0.178,1,0.0546,1,Serious
Carole Bayer Sager,The Prayer,0.347,0.0951,92.268,0.0333,0.816,2.61E-05,3,0.3,10,0.0393,1,
Henry Purcell,"Purcell / Arr Balsom: Come Ye Sons of Art, Z. 323: Sound the trumpet (countertenor)",0.19,0.164,103.428,0.0405,0.983,0.28,4,0.369,1,0.593,1,Tender
Rev Theory,Justice,0.994,0.341,168.019,0.0578,0.000197,0.00106,4,0.387,8,0.749,1,Defiant
Cash Cash,Escarole,0.938,0.851,124.956,0.0589,0.00165,0.0379,4,0.658,11,0.653,1,Aggressive
Lewis Black,Halftime at the Super Bowl of 2001,0.855,0.707,74.963,0.915,0.702,0,1,0.518,6,0.143,0,Other
ILoveMakonnen,Side to Side,0.75,0.338,129.944,0.0348,0.000465,0.000396,4,0.669,2,0.388,1,Urgent
Nick Mulvey,April,0.424,0.0942,81.75,0.0366,0.913,0.174,4,0.336,2,0.0994,0,Yearning
Charles Cohen,Cloud Hands,0.19,0.0961,133.594,0.0583,0.946,0.563,5,0.45,11,0.0568,0,
Ember Falls,Shut Down With Me,0.978,0.754,140.025,0.203,8.18E-05,0.00209,4,0.481,1,0.266,1,
RITUAL,Bottle Tops,0.41,0.108,101.529,0.0865,0.258,6.68E-05,4,0.401,4,0.0811,0,Brooding
Anton Steck,Concerto RV 368 in si bemolle maggiore: I. Allegro,0.153,0.293,136.995,0.0374,0.848,0.8,4,0.406,9,0.483,1,Tender
Edward Sharpe & The Magnetic Zeros,Somewhere,0.491,0.152,133.68,0.0314,0.93,0.171,4,0.548,9,0.844,1,Empowering
Kanye West,Family Business,0.533,0.475,93.702,0.216,0.159,0,4,0.726,0,0.562,1,Sensual
Adele,Hello,0.431,0.0854,157.98,0.0342,0.329,0,4,0.471,5,0.293,0,Empowering
Eagles Of Death Metal,Don't Speak (I Came to Make a Bang),0.911,0.656,136.748,0.119,0.00678,0.00508,4,0.598,8,0.601,1,Rowdy
Nekrokraft,Will o' Wisp,0.943,0.173,94.619,0.0686,7.12E-06,0.00464,3,0.327,11,0.154,1,Aggressive
The Black Hollies,Gloomy Monday Morning,0.602,0.165,100.835,0.0362,0.00289,0,4,0.342,2,0.536,1,Urgent
Mme,Aloha,0.722,0.12,100.016,0.173,0.203,6.17E-05,4,0.554,10,0.426,0,Brooding
Mazzy Star,Fade Into You,0.33,0.0677,157.143,0.0275,0.245,0.000679,3,0.42,9,0.173,1,Romantic
Brent Cobb,Shine On Rainy Day,0.212,0.107,120.547,0.0364,0.656,2.82E-05,4,0.742,7,0.223,1,
Twenty One Pilots,Holding On To You,0.776,0.0713,89.996,0.0511,0.241,0,4,0.608,11,0.813,1,Empowering
Dark Funeral,Where Shadows Forever Reign,0.994,0.212,110.036,0.078,1.78E-05,0.443,4,0.413,6,0.0296,0,Defiant
Ray Charles,Chattanooga Choo-Choo,0.516,0.109,115.247,0.0395,0.814,0,4,0.367,5,0.596,0,Sophisticated
Au/Ra,Concrete Jungle,0.495,0.125,82.9,0.0619,0.43,0.00163,4,0.551,11,0.245,1,Gritty
Lpsley,Falling Short,0.403,0.12,124.548,0.0405,0.752,1.89E-05,4,0.689,9,0.12,0,Somber
Chris Cornell,Nothing Compares 2 U,0.564,0.0718,64.988,0.0268,0.0937,0,4,0.49,1,0.386,1,Empowering
The McCoys,Hang On Sloopy - Single Version,0.516,0.0723,115.255,0.0334,0.167,0,4,0.764,7,0.929,1,
